address,area,average_price,city,date,direction,elevator,firm_name,height,house_type,huxing_jiegou,image_path,image_url,jianzhuleixing,new,nianxian,region,tihu_bili,total_price,url,zhuangxiu
花山区霍里,115.16,9987,马鞍山,2019-8,南,有,秀山湖壹號,低楼层 (共18层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/323857b2-a7fb-4e48-8a89-07cd8f84c50e.JPG.120x80.jpg,板楼,0,70,花山区,两梯四户,115,https://mas.lianjia.com/ershoufang/103103973606.html,精装
清城区横荷,109,10000,清远,2019-8,南,有,海伦春天,高楼层 (共33层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/30258d82-3aac-4723-bd17-591762520806.jpg.120x80.jpg,暂无数据,0,70,清城区,两梯三户,109,https://qy.lianjia.com/ershoufang/105102649573.html,毛坯
清城区新城,41,9025,清远,2019-8,东北,有,东方天城,高楼层 (共32层),1室0厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/71b35786-5ccd-424e-a115-4cf291f8042d.jpg.120x80.jpg,塔楼,0,70,清城区,两梯十九户,37,https://qy.lianjia.com/ershoufang/105102813449.html,毛坯
清城区清城,61.41,8142,清远,2019-8,西,有,美汇半岛,低楼层 (共18层),1室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/a80b66d7-83b4-4682-99bc-04992191609f.jpg.120x80.jpg,暂无数据,0,70,清城区,三梯十二户,50,https://qy.lianjia.com/ershoufang/105102653669.html,精装
当涂县当涂县,110,4819,马鞍山,2019-8,南,有,豪邦君悦华庭,低楼层 (共18层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/3e81b544-cd4d-4b0a-89ad-46efba59d058.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,53,https://mas.lianjia.com/ershoufang/103103767807.html,毛坯
花山区江东,87.5,11658,马鞍山,2019-8,南,无,东方明珠三村,中楼层 (共6层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/cd98de16-e149-4056-aef1-7c337178c31c.jpg.120x80.jpg,塔楼,0,70,花山区,一梯两户,102,https://mas.lianjia.com/ershoufang/103104180311.html,简装
清城区清城,129,6590,清远,2019-8,西,有,西环雅苑,高楼层 (共11层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/89981b11-16dc-4104-afcc-67121b1faa20.jpg.120x80.jpg,暂无数据,0,70,清城区,两梯三户,85,https://qy.lianjia.com/ershoufang/105102648608.html,精装
当涂县当涂县,98,5511,马鞍山,2019-8,南 北,有,紫竹苑,高楼层 (共7层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/97fc6a3e-3678-4b08-af0d-7cf7b55f4f6e.jpg.120x80.jpg,暂无数据,0,70,当涂县,十三梯两户,54,https://mas.lianjia.com/ershoufang/103103767800.html,其他
当涂县当涂县,101.63,6573,马鞍山,2019-8,南 北,有,豪邦君悦华庭,低楼层 (共18层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/7d23898d-843a-4504-b57d-06d3c4e4a9d0.jpg.120x80.jpg,暂无数据,0,70,当涂县,两梯三户,100,https://mas.lianjia.com/ershoufang/103103767815.html,精装
花山区桃园,73.58,4485,马鞍山,2019-8,南,无,桂花园,高楼层 (共6层),3室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/d34cc588-7069-426f-ab09-163461aa40b7.jpg.120x80.jpg,板楼,0,70,花山区,一梯两户,33,https://mas.lianjia.com/ershoufang/103103853142.html,毛坯
雨山区采石,151,7616,马鞍山,2019-8,南,有,人行公寓,高楼层 (共17层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/d7cc4b11-ff42-4a1a-8ad3-85aed4058052.jpg.120x80.jpg,板塔结合,0,70,雨山区,三梯两户,115,https://mas.lianjia.com/ershoufang/103104180571.html,毛坯
洪梅镇洪梅镇,100,14500,东莞,2019-8,东 西,有,,低楼层 (共17层),3室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/58621ced-f6bd-401f-bb7e-3cb14e70e162.JPG.120x80.jpg,板楼,0,70,洪梅镇,两梯三户,145,https://dg.lianjia.com/ershoufang/105101646475.html,精装
当涂县当涂县,85.83,5476,马鞍山,2019-8,南,有,东一城,低楼层 (共24层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/e48b691e-cf8f-4cf8-94db-f94807443b47.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯四户,47,https://mas.lianjia.com/ershoufang/103103850447.html,毛坯
瑶海铜陵路,84.57,12534,合肥,2019-8,西南,有,,中楼层 (共31层),3室1厅,平层,,https://vrlab-image.ljcdn.com/release/vradmin/1000000026029829/images/541c7801-13eb-4560-b2f7-ead9e5080c98.png.q_70.jpg,塔楼,0,70,瑶海,八梯十六户,106,https://hf.lianjia.com/ershoufang/103102843989.html,简装
蜀山五里墩,98.43,20827,合肥,2019-8,南 北,有,,中楼层 (共18层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/25504a59c79c32d7dfe94ba0dc731831/screenshot/1547959434_8/pc0_0LH2ItZbW.jpg.q_70.jpg,板塔结合,0,70,蜀山,两梯三户,205,https://hf.lianjia.com/ershoufang/103103799729.html,精装
清新区清新,87.17,7916,清远,2019-8,北,暂无数据,骏豪花园,低楼层 (共30层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/1d963efa-23c5-40c5-9432-e1ef1032fc28.jpg.120x80.jpg,暂无数据,0,70,清新区,一梯六户,69,https://qy.lianjia.com/ershoufang/105102655714.html,毛坯
清城区新城,86.09,5228,清远,2019-8,南,有,环卫综合楼,高楼层 (共10层),3室2厅,暂无数据,,,暂无数据,0,70,清城区,一梯两户,45,https://qy.lianjia.com/ershoufang/105102824192.html,其他
庐阳海棠,51.56,17262,合肥,2019-8,西南,有,,中楼层 (共24层),2室1厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/ee66a86542097d0b18607ac2ea4ebfc0/screenshot/1545968474_1/pc0_1mQeZhxdJ.jpg.q_70.jpg,塔楼,0,70,庐阳,两梯八户,89,https://hf.lianjia.com/ershoufang/103102981849.html,简装
花山区霍里,121,9918,马鞍山,2019-8,南,无,恒生秀山郡,低楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/e109462e-ebe7-4bf4-9f2a-9dccba5ec9d0.JPG.120x80.jpg,板楼,0,70,花山区,一梯两户,120,https://mas.lianjia.com/ershoufang/103103973623.html,毛坯
雨山区雨山,63.8,7054,马鞍山,2019-8,南,无,珍珠园六村,高楼层 (共6层),2室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/01aca6c1-365b-4bc3-8a92-ad42775749ce.jpg.120x80.jpg,板楼,0,70,雨山区,一梯两户,45,https://mas.lianjia.com/ershoufang/103104071926.html,简装
洪梅镇洪梅镇,127.17,13368,东莞,2019-8,南 北,有,,低楼层 (共17层),3室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/aed32714-8eab-4f80-ba9d-c3209bb80ea2.JPG.120x80.jpg,板楼,0,70,洪梅镇,两梯两户,170,https://dg.lianjia.com/ershoufang/105101646562.html,精装
雨山区安民,103.66,4342,马鞍山,2019-8,南,无,鸳鸯二村,高楼层 (共7层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/a191407b-869e-4c42-a847-9f8c70abfee0.jpg.120x80.jpg,板楼,0,70,雨山区,一梯两户,45,https://mas.lianjia.com/ershoufang/103103855624.html,简装
清城区清城,78.2,9591,清远,2019-8,东南,有,美汇半岛,高楼层 (共19层),2室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/17558cd5-90fb-474b-bb3e-a63446a1e28a.jpg.120x80.jpg,暂无数据,0,70,清城区,三梯十二户,75,https://qy.lianjia.com/ershoufang/105102661848.html,精装
经开芙蓉,148.71,14458,合肥,2019-8,南 北,有,,低楼层 (共11层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/5b4279d3d20cd79e2c8808789c08745d/screenshot/1553504285_0/pc0_sjgAACLp8.jpg.q_70.jpg,板楼,0,70,经开,一梯两户,215,https://hf.lianjia.com/ershoufang/103103252516.html,精装
东坑镇东坑镇,340,10500,东莞,2019-8,南,有,,高楼层 (共22层),5室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/b483da06-13db-4299-9f78-0d06088629c4.JPG.120x80.jpg,塔楼,0,70,东坑镇,两梯四户,357,https://dg.lianjia.com/ershoufang/105101647478.html,毛坯
当涂县当涂县,78,3526,马鞍山,2019-8,南 北,无,翠竹小区,高楼层 (共6层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/e64f9167-50e6-4571-a251-a58d565c009f.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,100,https://mas.lianjia.com/ershoufang/103103767891.html,精装
当涂县当涂县,122.33,4905,马鞍山,2019-8,南 北,无,襄河湾,低楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/c0cac9cd-69ff-47bc-90a0-a7a31f23a6b6.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,60,https://mas.lianjia.com/ershoufang/103103767817.html,精装
雨山区佳山,112,6429,马鞍山,2019-8,南,有,西塘名苑,高楼层 (共32层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/dcf9a898-d2ec-42ab-b524-1153b29aec6c.jpg.120x80.jpg,板楼,0,70,雨山区,两梯四户,72,https://mas.lianjia.com/ershoufang/103104188762.html,毛坯
雨山区佳山,122,8115,马鞍山,2019-8,南,有,天泽水岸,中楼层 (共28层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/391eba3c-576e-4c21-8188-d6dec99ee2f0.jpg.120x80.jpg,板塔结合,0,70,雨山区,两梯四户,99,https://mas.lianjia.com/ershoufang/103104181617.html,毛坯
东坑镇东坑镇,340,10500,东莞,2019-8,南,有,,高楼层 (共22层),5室2厅,暂无数据,,https://image1.ljcdn.com/441900-inspection/21c088a9-0c1b-40d5-b3dc-917d3fde37dd.JPG.120x80.jpg,塔楼,0,70,东坑镇,两梯四户,357,https://dg.lianjia.com/ershoufang/105101647477.html,毛坯
政务荷叶地,163,26933,合肥,2019-8,西,有,,中楼层 (共34层),4室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/4b451c4aaf388be6f7aafd4724304250/screenshot/1544243504_0/pc0_NlvTexG56.jpg.q_70.jpg,塔楼,0,70,政务,两梯四户,439,https://hf.lianjia.com/ershoufang/103103079101.html,精装
政务荷叶地,96.33,22008,合肥,2019-8,南,有,,低楼层 (共23层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/e5602bc4390abb195214e5e32882b4cb/screenshot/1564219605_0/pc0_CjaeaCDo6.jpg.q_70.jpg,板楼,0,70,政务,两梯四户,212,https://hf.lianjia.com/ershoufang/103103856922.html,简装
当涂县当涂县,94.06,3828,马鞍山,2019-8,南 北,无,西苑小区三村,高楼层 (共6层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/473fcacc-3ccd-48a2-9dbc-48abbeccea38.jpg.120x80.jpg,板楼,0,70,当涂县,一梯两户,36,https://mas.lianjia.com/ershoufang/103104073293.html,精装
清新区清新,112,8304,清远,2019-8,东南,有,中恒公园大地东区,高楼层 (共27层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/9e211f2f-0287-40db-9599-cd2430fb9484.jpg.120x80.jpg,平房,0,70,清新区,两梯四户,93,https://qy.lianjia.com/ershoufang/105102669110.html,精装
雨山区安民,105,5524,马鞍山,2019-8,南 北,无,鸳鸯小区三村(红旗中路),高楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340200-inspection/ddfb2af9-76b0-4a06-ba90-ea26510756c5.jpg.120x80.jpg,板楼,0,70,雨山区,一梯两户,58,https://mas.lianjia.com/ershoufang/103103973806.html,简装
清城区新城,36,7167,清远,2019-8,南 北,有,时代花城,低楼层 (共30层),1室1厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/65b9e99b-cd74-44ec-89a7-a5763f3accc9.jpg.120x80.jpg,平房,0,70,清城区,两梯二十四户,100,https://qy.lianjia.com/ershoufang/105102829178.html,其他
清城区清城,80,8750,清远,2019-8,北,有,新中美·帝景湾花园,中楼层 (共26层),2室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/a7b430bd-50ee-4e35-b088-607463a973f3.jpg.120x80.jpg,塔楼,0,70,清城区,两梯六户,70,https://qy.lianjia.com/ershoufang/105102674178.html,精装
当涂县当涂县,130.65,6009,马鞍山,2019-8,南 北,有,九韵国际,中楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/f2bb483e-cff0-4bc1-952a-55254cac56b3.jpg.120x80.jpg,暂无数据,0,70,当涂县,十二梯两户,100,https://mas.lianjia.com/ershoufang/103104197036.html,精装
当涂县当涂县,135.56,5533,马鞍山,2019-8,南,有,金汇康郡东区,低楼层 (共18层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/5cf5cecb-166f-4238-b99e-249e433088fc.jpg.120x80.jpg,板楼,0,70,当涂县,两梯三户,75,https://mas.lianjia.com/ershoufang/103103767919.html,毛坯
当涂县当涂县,153,4445,马鞍山,2019-8,南 北,无,翠竹小区,高楼层 (共6层),4室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/7059e81f-207b-41d4-a975-f8b0f7e1cabe.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,68,https://mas.lianjia.com/ershoufang/103103868234.html,毛坯
新站七里塘,141.96,11412,合肥,2019-8,南,有,,中楼层 (共18层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/c21b98e1b4d62deaa509e3a457a16f5f/screenshot/1546592045_14/pc0_iesN8MCUf.jpg.q_70.jpg,塔楼,0,70,新站,两梯四户,162,https://hf.lianjia.com/ershoufang/103103635588.html,精装
政务荷叶地,146.03,16846,合肥,2019-8,南 北,有,,低楼层 (共9层),4室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/1146baa20ba6ee97fda2a1b73d6c270e/screenshot/1556516099_9/pc0_zvDMntLJl.jpg.q_70.jpg,塔楼,0,70,政务,两梯两户,246,https://hf.lianjia.com/ershoufang/103103667522.html,毛坯
花山区霍里,106.42,9679,马鞍山,2019-8,南 北,有,新里·维多利亚公馆,中楼层 (共33层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/630df854-74ea-4e01-ba03-e6f5b6027692.JPG.120x80.jpg,板楼,0,70,花山区,两梯三户,103,https://mas.lianjia.com/ershoufang/103104074910.html,毛坯
当涂县当涂县,79.6,4021,马鞍山,2019-8,南,无,襄城南苑,低楼层 (共7层),2室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/1c2c5f55-2ea9-4d37-b333-a0d19ea513e3.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,32,https://mas.lianjia.com/ershoufang/103103974421.html,毛坯
当涂县当涂县,178,7585,马鞍山,2019-8,南,有,长江公园国际,高楼层 (共11层),4室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/19fa35c5-e0dc-4c6b-a339-7d6c53cfe30f.jpg.120x80.jpg,暂无数据,0,70,当涂县,十五梯两户,135,https://mas.lianjia.com/ershoufang/103104073530.html,精装
清城区新城,36,7167,清远,2019-8,北 南,有,时代花城,低楼层 (共30层),1室1厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/1870bb8c-2cd6-48a8-9bc2-47e85b29ad99.jpg.120x80.jpg,平房,0,70,清城区,两梯二十四户,100,https://qy.lianjia.com/ershoufang/105102829204.html,其他
新站七里塘,84.64,12760,合肥,2019-8,南,有,,高楼层 (共18层),2室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/b356368ca415f0326306e07aead9f57c/screenshot/1560059048_12/pc0_J0TUb3Ktg.jpg.q_70.jpg,板塔结合,0,70,新站,两梯五户,108,https://hf.lianjia.com/ershoufang/103104946486.html,简装
花山区霍里,110,9364,马鞍山,2019-8,南,有,悦城景苑,中楼层 (共7层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/897400d9-b2b2-4c31-b9b4-13b917495255.jpg.120x80.jpg,板塔结合,0,70,花山区,两梯两户,103,https://mas.lianjia.com/ershoufang/103103975671.html,精装
高新天乐,42.27,16088,合肥,2019-8,西北 北,有,,高楼层 (共31层),1室1厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/2df6123f89c38fde2d1e7a2773c1a713/screenshot/1544926541_9/pc0_aRj2FbTyP.jpg.q_70.jpg,塔楼,0,70,高新,三梯十四户,68,https://hf.lianjia.com/ershoufang/103105580991.html,简装
当涂县当涂县,93,5377,马鞍山,2019-8,南,有,正元香槟城,高楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/00eb2629-2876-4c0d-ab02-cf42477385d0.jpg.120x80.jpg,平房,0,70,当涂县,二十梯两户,50,https://mas.lianjia.com/ershoufang/103103767929.html,精装
雨山区安民,83.3,6363,马鞍山,2019-8,南,无,新安花园,中楼层 (共7层),2室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/741ff100-cb07-463b-8bf3-dd92fa5d6cd4.jpg.120x80.jpg,板楼,0,70,雨山区,一梯两户,53,https://mas.lianjia.com/ershoufang/103104198679.html,精装
清城区新城,98,11225,清远,2019-8,南,有,朝南维港新天地,低楼层 (共31层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/700ef8dc-bd98-4fa4-b2fa-6b6c9ce38f47.jpg.120x80.jpg,塔楼,0,70,清城区,两梯五户,110,https://qy.lianjia.com/ershoufang/105101833062.html,其他
清城区城西商贸区,83,10844,清远,2019-8,东,有,七色城邦,中楼层 (共30层),2室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/07ff70de-bc84-4137-ae7d-a889ea2d9d8b.jpg.120x80.jpg,塔楼,0,70,清城区,三梯六户,90,https://qy.lianjia.com/ershoufang/105102677762.html,精装
当涂县当涂县,119,6723,马鞍山,2019-8,南,有,阳光威尼斯,高楼层 (共5层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/22aa2173-ad8e-425d-a9b8-598bb6f024d3.jpg.120x80.jpg,暂无数据,0,70,当涂县,两梯两户,80,https://mas.lianjia.com/ershoufang/103103767922.html,精装
花山区沙塘,105.29,4939,马鞍山,2019-8,南,暂无数据,沙塘村,高楼层 (共6层),3室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/ffc4ac47-7881-4a17-8b1e-ce9ac9d4fed4.jpg.120x80.jpg,板楼,0,70,花山区,一梯两户,52,https://mas.lianjia.com/ershoufang/103104219176.html,简装
清城区清城,142.86,8400,清远,2019-8,南,有,信和花园,中楼层 (共30层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/373ca4a1-ab25-43b1-adae-be73ba08a1c8.jpg.120x80.jpg,塔楼,0,70,清城区,两梯四户,120,https://qy.lianjia.com/ershoufang/105101973764.html,毛坯
清城区清城,68,8530,清远,2019-8,西南,暂无数据,阳光100阿尔勒,高楼层 (共30层),2室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/8238ee55-ac66-4cfa-80d1-270d2bbe000e.jpg.120x80.jpg,暂无数据,0,70,清城区,一梯六户,58,https://qy.lianjia.com/ershoufang/105102679875.html,精装
花山区霍里,103,10195,马鞍山,2019-8,南,有,东方城,低楼层 (共11层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/66d250a6-7515-4da1-acfd-2be289839a04.JPG.120x80.jpg,板塔结合,0,70,花山区,一梯两户,105,https://mas.lianjia.com/ershoufang/103103877681.html,精装
花山区霍里,76.8,9870,马鞍山,2019-8,南,有,新里·维多利亚公馆,中楼层 (共33层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/029ac50d-81a6-4a9f-87a4-0a5a571cdcf8.JPG.120x80.jpg,板楼,0,70,花山区,两梯三户,100,https://mas.lianjia.com/ershoufang/103104074927.html,毛坯
花山区解放路,84,10893,马鞍山,2019-8,南,无,汇成上东,高楼层 (共6层),4室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/d95fdda2-c0e0-4d98-813f-7c401cd51db2.jpg.120x80.jpg,板塔结合,0,70,花山区,一梯两户,100,https://mas.lianjia.com/ershoufang/103103979769.html,精装
清城区新城,48,6875,清远,2019-8,北,有,恒福上域国际,中楼层 (共20层),1室1厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/046e6711-fdf6-47f1-8d53-211aa03ce4a7.jpg.120x80.jpg,塔楼,0,70,清城区,两梯二十一户,33,https://qy.lianjia.com/ershoufang/105102828495.html,简装
花山区霍里,84,5000,马鞍山,2019-8,南,有,丰收佳苑,低楼层 (共24层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/3f248889-36df-47bb-87b4-d71fa59fe49f.JPG.120x80.jpg,板楼,0,70,花山区,两梯四户,42,https://mas.lianjia.com/ershoufang/103103880032.html,毛坯
肥西染坊,106.61,18291,合肥,2019-8,南 北,无,,中楼层 (共6层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/578b94c606a304b65dbaa31eec0f21ef/screenshot/1545887539_0/pc0_qyXVV9cv4.jpg.q_70.jpg,板塔结合,0,70,肥西,一梯两户,195,https://hf.lianjia.com/ershoufang/103103580930.html,精装
雨山区佳山,90.7,8600,马鞍山,2019-8,南,有,泰和天成,低楼层 (共27层),2室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/cb12a358-1a73-48ff-9960-21fd12343a51.jpg.120x80.jpg,暂无数据,0,70,雨山区,两梯三户,78,https://mas.lianjia.com/ershoufang/103103992022.html,毛坯
清城区清城,103,7476,清远,2019-8,西南,有,御景湖畔,高楼层 (共32层),3室2厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/9b40cf43-7c1a-4f6d-b033-d7cb16c577c9.jpg.120x80.jpg,塔楼,0,70,清城区,两梯六户,77,https://qy.lianjia.com/ershoufang/105102684755.html,精装
雨山区佳山,60,6667,马鞍山,2019-8,南,无,东湖蓝郡,高楼层 (共4层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/a19bb227-8495-4e65-97d0-ff71197094a3.jpg.120x80.jpg,板楼,0,70,雨山区,一梯三十二户,40,https://mas.lianjia.com/ershoufang/103104226038.html,简装
雨山区佳山,100,6300,马鞍山,2019-8,南,有,御景园,低楼层 (共8层),2室1厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/a60be8a9-f261-4b17-bc7d-2cf7c657c3b8.jpg.120x80.jpg,板楼,0,70,雨山区,一梯两户,63,https://mas.lianjia.com/ershoufang/103103884061.html,毛坯
当涂县当涂县,104,3462,马鞍山,2019-8,南,无,东营小区二村,高楼层 (共6层),3室2厅,暂无数据,,https://image1.ljcdn.com/340500-inspection/363e33ed-b2e5-4708-8ab2-792b2ae62a5b.jpg.120x80.jpg,暂无数据,0,70,当涂县,一梯两户,36,https://mas.lianjia.com/ershoufang/103104100427.html,精装
高新兴园,95,15790,合肥,2019-8,南,有,,低楼层 (共11层),3室2厅,平层,,https://vrlab-image.ljcdn.com/release/auto3dhd/445b760d8d75b2603b8578667527e648/screenshot/1560242905_0/pc0_rHsxGqiQM.jpg.q_70.jpg,板楼,0,70,高新,两梯三户,150,https://hf.lianjia.com/ershoufang/103104925757.html,精装
清城区横荷,54.94,10885,清远,2019-8,东南,有,丽都花城,中楼层 (共12层),1室1厅,暂无数据,,https://image1.ljcdn.com/441800-inspection/9fc9b8aa-77ed-4e21-a6ea-0b5aeb10790b.jpg.120x80.jpg,板塔结合,0,70,清城区,一梯九户,100,https://qy.lianjia.com/ershoufang/105101833233.html,其他
